acacia	アカシア属の木,《英》ハリエンジュ,ニセアカシア
accretion	〈U〉(付着・添加による)増大 / 〈C〉付加物,添加物
accrue	《文》(自然の結果として)生じる,発生する;〈利子が〉つく
acct.	account / accountant
acculturation	文化変容・(異文化との接触による)固有の文化の変容
accumulate	…を『蓄積する』,ためる / 『たまる』,ふえる
accumulation	〈U〉蓄積すること,ためること / 〈C〉蓄積したもの
accumulative	蓄積する,蓄財する,ためこみを重んじる
accumulator	蓄積器;蓄電池;(コンピュータの)累算器
accuracy	『正確さ』,精密
accurate	『正確な』,的確な,精密な
accurately	正確に,精密に,綿密に
accursed,accurst	のろわれた / 憎むべき,いまわしい
accus.	accusative
accusation	〈C〉〈U〉(…を)告発(告訴,非難)すること《+『of』+『名』》,告発(非難)されること / 〈C〉(…の)罪状;…罪《+『of』+『名』》
accusative	(ギリシア・ラテン・ドイツ語の格変化で)対格の,(英語で)直接目的格の / 対格,直接目的格
accuse	(…の罪で)〈人〉を『告発する』,告訴する《+『名』〈人〉+『of』+『名』(do『ing』)》 / (…であると)〈人〉を『非難する』,責める《+『名』〈人〉+『of』+『名』(do『ing』)》
accused	告発(告訴)された / (特に)刑事被告人
accuser	告訴人,原告 / 非難者
accustom	(…に)〈人・自分・動物〉を『慣らす』,習慣づける《+『名』+『to』+『名』(do『ing』)》
